House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
16,Bennett Crescent,Jodie,Wilkinson,14,Daughter,NA,Female,Student,None,NA
16,Bennett Crescent,Linda,Wilkinson,8,Daughter,NA,Female,Student,None,NA
16,Bennett Crescent,Anna,Wilkinson,4,Daughter,NA,Female,Child,None,NA
16,Bennett Crescent,Duncan,Jackson,58,Lodger,Single,Male,Geochemist,None,Christian
16,Bennett Crescent,Garry,Hale,44,Lodger,Single,Male,"Lecturer, further education",None,None
16,Bennett Crescent,Charles,Evans,27,Lodger,Single,Male,Building control surveyor,None,None
16,Bennett Crescent,Melissa,Griffiths,31,Lodger,Single,Female,"Copywriter, advertising",None,None
17,Bennett Crescent,Valerie,Phillips,34,Head,Single,Female,Passenger transport manager,None,Methodist
17,Bennett Crescent,Norman,Fox,34,Partner,Single,Male,"Engineer, materials",None,Methodist
17,Bennett Crescent,Michelle,Clarke,36,Lodger,Single,Female,Ship broker,None,None
17,Bennett Crescent,Harriet,Bailey,40,Cousin,Single,Female,Electronics engineer,None,Methodist
17,Bennett Crescent,Amy,Harris,51,Sibling,Divorced,Female,"Psychologist, prison and probation services",None,None
17,Bennett Crescent,Trevor,Jones,26,Lodger,Single,Male,Unemployed,None,None
18,Bennett Crescent,Jean,Flynn,60,Head,Married,Female,"Designer, exhibition/display",None,None
18,Bennett Crescent,Ben,Flynn,55,Husband,Married,Male,Further education lecturer,None,None
18,Bennett Crescent,Ronald,Flynn,30,Son,Single,Male,Drilling engineer,None,None
18,Bennett Crescent,Frank,Flynn,27,Son,Divorced,Male,"Geologist, engineering",None,None
18,Bennett Crescent,Sally,Flynn,26,Daughter,Single,Female,"Psychologist, clinical",None,None
19,Bennett Crescent,Barbara,James,30,Head,Divorced,Female,Fish farm manager,None,None
19,Bennett Crescent,John,James,4,Son,NA,Male,Child,None,NA
19,Bennett Crescent,Nathan,James,1,Son,NA,Male,Child,None,NA
19,Bennett Crescent,Kate,Kelly,38,Lodger,Single,Female,TEFL teacher,None,None
19,Bennett Crescent,Jill,Baker,19,Lodger,Single,Female,University Student,None,None
19,Bennett Crescent,Catherine,Morgan,47,Lodger,Divorced,Female,Planning and development surveyor,None,Christian
20,Bennett Crescent,Stephanie,Harrison,41,Head,Single,Female,"Pilot, airline",None,Catholic
20,Bennett Crescent,Leon,Harrison,0,Son,NA,Male,Child,None,NA
20,Bennett Crescent,Jake,Williams,52,Lodger,Single,Male,Tax adviser,None,Methodist
20,Bennett Crescent,James,Curtis,43,Lodger,Single,Male,Brewing technologist,None,Methodist
20,Bennett Crescent,Deborah,Saunders,19,Sibling,Divorced,Female,University Student,None,Methodist
21,Bennett Crescent,Denis,James,37,Head,Divorced,Male,Unemployed,None,Christian
21,Bennett Crescent,Martyn,James,12,Son,NA,Male,Student,None,NA
21,Bennett Crescent,Barry,James,10,Son,NA,Male,Student,None,NA
22,Bennett Crescent,Julia,Barlow,58,Head,Married,Female,"Surveyor, rural practice",None,Catholic
22,Bennett Crescent,Dean,Barlow,64,Husband,Married,Male,"Programme researcher, broadcasting/film/video",None,Catholic
22,Bennett Crescent,Alan,Barlow,22,Son,Single,Male,University Student,None,None
22,Bennett Crescent,Dawn,Barlow,18,Daughter,Divorced,Female,Student,None,Catholic
22,Bennett Crescent,Dean,Barlow,14,Son,NA,Male,Student,None,NA
23,Bennett Crescent,Carly,Noble,43,Head,Single,Female,Art gallery manager,None,None
23,Bennett Crescent,Dennis,Lees,45,Partner,Single,Male,Radiation protection practitioner,None,None
23,Bennett Crescent,Aaron,Noble,9,Son,NA,Male,Student,None,NA
23,Bennett Crescent,Emma,Noble,5,Daughter,NA,Female,Student,None,NA
23,Bennett Crescent,Rachel,Noble,1,Daughter,NA,Female,Child,None,NA
24,Bennett Crescent,Amy,Bond,63,Head,Single,Female,"Lecturer, higher education",None,Christian
24,Bennett Crescent,Roger,Clark,68,Partner,Single,Male,Retired Clinical biochemist,None,None
24,Bennett Crescent,Rachel,Bond,31,Daughter,Divorced,Female,Unemployed,None,Christian
24,Bennett Crescent,Grace,Davies,30,Daughter,Divorced,Female,"Clinical scientist, histocompatibility and immunogenetics",None,None
24,Bennett Crescent,William,Davies,26,Son,Single,Male,Pharmacologist,None,Christian
24,Bennett Crescent,John,Davies,23,Son,Single,Male,Company secretary,None,None
24,Bennett Crescent,Rachel,Davies,7,Daughter,NA,Female,Student,None,NA
25,Bennett Crescent,Lorraine,Lewis,50,Head,Single,Female,Unemployed,None,Catholic
25,Bennett Crescent,Brett,Lewis,20,Son,Single,Male,University Student,None,Catholic
25,Bennett Crescent,Jodie,Lewis,17,Daughter,NA,Female,Student,None,NA
25,Bennett Crescent,Hilary,Lewis,13,Daughter,NA,Female,Student,None,NA
25,Bennett Crescent,Matthew,Lewis,11,Son,NA,Male,Student,None,NA
26,Bennett Crescent,Hilary,Hobbs,55,Head,Single,Female,Unemployed,None,Christian
26,Bennett Crescent,Dylan,Hobbs,16,Son,NA,Male,Student,None,NA
26,Bennett Crescent,Paige,Hobbs,14,Daughter,NA,Female,Student,None,NA
26,Bennett Crescent,Abdul,Hobbs,10,Son,NA,Male,Student,None,NA
26,Bennett Crescent,Amy,Hobbs,6,Daughter,NA,Female,Student,None,NA
27,Bennett Crescent,Eileen,Hunt,78,Head,Married,Female,"Retired Psychotherapist, dance movement",None,Methodist
27,Bennett Crescent,Vincent,Hunt,81,Husband,Married,Male,Retired Tourist information centre manager,None,None
27,Bennett Crescent,Charlene,Hunt,37,Daughter,Single,Female,Systems analyst,None,Methodist
27,Bennett Crescent,Mary,Hunt,33,Daughter,Single,Female,Armed forces logistics/support/administrative officer,None,None
27,Bennett Crescent,Natalie,Hunt,31,Daughter,Single,Female,Fast food restaurant manager,None,Methodist
27,Bennett Crescent,Susan,Hunt,29,Daughter,Single,Female,Unemployed,None,Methodist
27,Bennett Crescent,Sandra,Hunt,25,Daughter,Single,Female,Communications engineer,None,Methodist
27,Bennett Crescent,Jack,Hunt,25,Son,Single,Male,Osteopath,None,None
27,Bennett Crescent,Shane,Hunt,21,Son,Single,Male,University Student,None,None
27,Bennett Crescent,Glenn,Hunt,15,Son,NA,Male,Student,None,NA
28,Bennett Crescent,Graham,White,80,Head,Married,Male,Retired Futures trader,None,None
28,Bennett Crescent,Cheryl,White,77,Wife,Married,Female,Retired Chief Financial Officer,None,None
29,Bennett Crescent,Lydia,Jones,18,Head,Single,Female,Student,None,NA
29,Bennett Crescent,Alice,Griffin,43,None,Single,Female,Armed forces training and education officer,None,Christian
29,Bennett Crescent,Lynne,Smith,51,None,Single,Female,Arboriculturist,None,None
29,Bennett Crescent,George,Holmes,28,None,Single,Male,Chartered loss adjuster,None,Catholic
29,Bennett Crescent,Tracy,Atkinson,26,None,Single,Female,Television/film/video producer,None,None
30,Bennett Crescent,Abbie,Perkins,44,Head,Single,Female,"Designer, furniture",None,Catholic
30,Bennett Crescent,Tom,Phillips,46,Partner,Single,Male,Control and instrumentation engineer,None,Catholic
30,Bennett Crescent,Eileen,Perkins,22,Daughter,Single,Female,University Student,None,Catholic
30,Bennett Crescent,Stanley,Perkins,21,Son,Single,Male,University Student,None,Catholic
30,Bennett Crescent,Norman,Perkins,21,Son,Single,Male,Ship broker,None,Catholic
30,Bennett Crescent,Vincent,Perkins,21,Son,Divorced,Male,University Student,None,Catholic
30,Bennett Crescent,Ian,Perkins,21,Son,Single,Male,University Student,None,Catholic
30,Bennett Crescent,Peter,Perkins,19,Son,Divorced,Male,University Student,None,Catholic
30,Bennett Crescent,Rhys,Perkins,8,Son,NA,Male,Student,Physical Disability,NA
31,Bennett Crescent,Hayley,Chadwick,45,Head,Married,Female,Minerals surveyor,None,Catholic
31,Bennett Crescent,Timothy,Chadwick,47,Husband,Married,Male,"Geneticist, molecular",None,None
31,Bennett Crescent,Steven,Chadwick,17,Son,NA,Male,Student,None,NA
31,Bennett Crescent,Irene,Webster,14,Daughter,NA,Female,Student,None,NA
31,Bennett Crescent,Grace,Webster,13,Daughter,NA,Female,Student,None,NA
1,Holyroodbraid Avenue,Beth,Young,37,Head,Single,Female,TEFL teacher,None,None
1,Holyroodbraid Avenue,Guy,Howe,39,Partner,Single,Male,Community education officer,None,None
1,Holyroodbraid Avenue,Ashleigh,Young,15,Daughter,NA,Female,Student,None,NA
1,Holyroodbraid Avenue,Molly,Young,15,Daughter,NA,Female,Student,None,NA
1,Holyroodbraid Avenue,Aaron,Young,10,Son,NA,Male,Student,None,NA
2,Holyroodbraid Avenue,Leanne,Jones,45,Head,Married,Female,Arboriculturist,None,Muslim
2,Holyroodbraid Avenue,Neil,Jones,47,Husband,Married,Male,Advertising copywriter,None,Muslim
2,Holyroodbraid Avenue,Valerie,Jones,12,Daughter,NA,Female,Student,None,NA
3,Holyroodbraid Avenue,Mitchell,Lee,33,Head,Married,Male,"Designer, furniture",None,Christian
3,Holyroodbraid Avenue,Elaine,Lee,32,Wife,Married,Female,Insurance broker,None,Christian
3,Holyroodbraid Avenue,Joyce,Lee,10,Daughter,NA,Female,Student,None,NA
4,Holyroodbraid Avenue,Jonathan,O'Neill,29,Head,Single,Male,Research scientist (physical sciences),None,Christian
4,Holyroodbraid Avenue,Kathleen,Owens,45,None,Single,Female,"Scientist, product/process development",None,None
5,Holyroodbraid Avenue,Jean,Jordan,24,Head,Single,Female,Commercial art gallery manager,None,Christian
5,Holyroodbraid Avenue,Brett,Turner,30,None,Single,Male,Interpreter,None,None
5,Holyroodbraid Avenue,Max,Wade,47,None,Single,Male,Restaurant manager,None,Christian
6,Holyroodbraid Avenue,Craig,Lee,57,Head,Single,Male,Clinical cytogeneticist,None,Christian
6,Holyroodbraid Avenue,Sian,Coleman,60,Partner,Single,Female,Film/video editor,None,Christian
6,Holyroodbraid Avenue,Ryan,Lee,23,Son,Single,Male,Early years teacher,None,Christian
6,Holyroodbraid Avenue,Marilyn,Lee,12,Daughter,NA,Female,Student,None,NA
7,Holyroodbraid Avenue,Michelle,Gray,36,Head,Married,Female,Scientific laboratory technician,None,Christian
7,Holyroodbraid Avenue,Jake,Gray,38,Husband,Married,Male,"Engineer, aeronautical",None,Christian
7,Holyroodbraid Avenue,Victor,Gray,7,Son,NA,Male,Student,None,NA
8,Holyroodbraid Avenue,Diane,Davies,46,Head,Married,Female,Tax adviser,None,None
8,Holyroodbraid Avenue,Roger,Davies,46,Husband,Married,Male,Emergency planning/management officer,None,None
8,Holyroodbraid Avenue,Barbara,Davies,21,Daughter,Single,Female,University Student,None,None
8,Holyroodbraid Avenue,Victor,Davies,15,Son,NA,Male,Student,None,NA
8,Holyroodbraid Avenue,Arthur,Davies,12,Son,NA,Male,Student,None,NA
9,Holyroodbraid Avenue,Clive,Richardson,59,Head,Single,Male,Forensic scientist,None,None
9,Holyroodbraid Avenue,Lauren,Smith,20,None,Single,Female,University Student,None,Muslim
9,Holyroodbraid Avenue,Kieran,Griffin,24,None,Single,Male,Insurance claims handler,None,None
9,Holyroodbraid Avenue,Melanie,Murphy,64,None,Single,Female,Haematologist,None,Methodist
10,Holyroodbraid Avenue,Sally,Wheeler,63,Head,Divorced,Female,"Surveyor, commercial/residential",None,None
10,Holyroodbraid Avenue,Katherine,Wheeler,37,Daughter,Divorced,Female,Architectural technologist,None,None
10,Holyroodbraid Avenue,Glenn,Wheeler,26,Adopted Son,Single,Male,Licensed conveyancer,None,None
10,Holyroodbraid Avenue,Howard,Wheeler,23,Son,Single,Male,"Surveyor, building",None,None
11,Holyroodbraid Avenue,Barbara,Davis,36,Head,Divorced,Female,Hydrologist,None,None
11,Holyroodbraid Avenue,Aimee,Davis,5,Daughter,NA,Female,Student,None,NA
11,Holyroodbraid Avenue,Charlie,Davis,5,Son,NA,Male,Student,None,NA
12,Holyroodbraid Avenue,Margaret,Wilson,67,Head,Married,Female,Barrister's clerk,None,None
12,Holyroodbraid Avenue,Charlie,Wilson,68,Husband,Married,Male,Retired Advertising art director,None,None
13,Holyroodbraid Avenue,Ellie,Brown,64,Head,Married,Female,Risk manager,None,None
13,Holyroodbraid Avenue,George,Brown,66,Husband,Married,Male,Publishing rights manager,None,None
13,Holyroodbraid Avenue,Naomi,Brown,26,Daughter,Single,Female,Management consultant,None,None
13,Holyroodbraid Avenue,Benjamin,Brown,25,Son,Single,Male,"Therapist, occupational",None,None
13,Holyroodbraid Avenue,Kirsty,Brown,0,Daughter,NA,Female,Child,None,NA
14,Holyroodbraid Avenue,Abigail,Dunn,50,Head,Married,Female,Dispensing optician,None,None
14,Holyroodbraid Avenue,Bryan,Dunn,54,Husband,Married,Male,"Exhibitions officer, museum/gallery",None,None
14,Holyroodbraid Avenue,Sam,Dunn,13,Son,NA,Male,Student,None,NA
15,Holyroodbraid Avenue,Natalie,Smith,55,Head,Married,Female,Research scientist (life sciences),None,None
15,Holyroodbraid Avenue,Jordan,Smith,57,Husband,Married,Male,Phytotherapist,None,None
15,Holyroodbraid Avenue,Shirley,Smith,23,Daughter,Single,Female,Unemployed,None,None
16,Holyroodbraid Avenue,Marian,Baker,38,Head,Married,Female,"Designer, jewellery",None,Christian
16,Holyroodbraid Avenue,Ryan,Baker,40,Husband,Married,Male,Neurosurgeon,None,Christian
16,Holyroodbraid Avenue,Marian,Baker,17,Daughter,NA,Female,Student,None,NA
17,Holyroodbraid Avenue,Irene,Bryant,44,Head,Married,Female,Materials engineer,None,Christian
17,Holyroodbraid Avenue,Leon,Bryant,50,Husband,Married,Male,"Pilot, airline",None,Christian
17,Holyroodbraid Avenue,Olivia,Bryant,11,Daughter,NA,Female,Student,None,NA
18,Holyroodbraid Avenue,Charlene,Austin,28,Head,Married,Female,"Journalist, magazine",None,None
18,Holyroodbraid Avenue,Jay,Austin,30,Husband,Married,Male,Telecommunications researcher,None,None
18,Holyroodbraid Avenue,Victor,Austin,4,Son,NA,Male,Child,None,NA
18,Holyroodbraid Avenue,Sarah,Austin,1,Daughter,NA,Female,Child,None,NA
19,Holyroodbraid Avenue,Kirsty,Davison,41,Head,Single,Female,"Engineer, maintenance",None,Christian
19,Holyroodbraid Avenue,Kenneth,Lee,42,Partner,Single,Male,Restaurant manager,None,Christian
19,Holyroodbraid Avenue,Karen,Davison,13,Daughter,NA,Female,Student,None,NA
20,Holyroodbraid Avenue,Annette,Gill,59,Head,Married,Female,Games developer,None,None
20,Holyroodbraid Avenue,Reece,Gill,64,Husband,Married,Male,Private music teacher,None,None
20,Holyroodbraid Avenue,Duncan,Gill,25,Son,Single,Male,Marine scientist,None,None
20,Holyroodbraid Avenue,William,Gill,22,Son,Single,Male,University Student,None,None
20,Holyroodbraid Avenue,Sarah,Gill,15,Daughter,NA,Female,Student,None,NA
21,Holyroodbraid Avenue,Sophie,Thompson,48,Head,Married,Female,Secondary school teacher,None,None
21,Holyroodbraid Avenue,Arthur,Thompson,50,Husband,Married,Male,"Solicitor, Scotland",None,None
21,Holyroodbraid Avenue,Callum,Thompson,14,Son,NA,Male,Student,None,NA
22,Holyroodbraid Avenue,Sophie,Jones,29,Head,Married,Female,Technical sales engineer,None,Catholic
22,Holyroodbraid Avenue,Stephen,Jones,32,Husband,Married,Male,Adult nurse,None,None
23,Holyroodbraid Avenue,Owen,Cooper,32,Head,Single,Male,Unemployed,None,Sikh
23,Holyroodbraid Avenue,Abbie,Rowe,29,Partner,Single,Female,Site engineer,None,None
23,Holyroodbraid Avenue,Katy,Cooper,6,Daughter,NA,Female,Student,None,NA
24,Holyroodbraid Avenue,Ellie,Martin,35,Head,Single,Female,IT trainer,None,None
24,Holyroodbraid Avenue,Russell,Kirk,40,Partner,Single,Male,Customer service manager,None,None
24,Holyroodbraid Avenue,William,Martin,9,Son,NA,Male,Student,None,NA
25,Holyroodbraid Avenue,Hilary,Wright,51,Head,Married,Female,Fisheries officer,None,Christian
25,Holyroodbraid Avenue,Patrick,Wright,54,Husband,Married,Male,Unemployed,None,Christian
25,Holyroodbraid Avenue,Chelsea,Wright,15,Daughter,NA,Female,Student,None,NA
26,Holyroodbraid Avenue,Owen,Fuller,60,Head,Single,Male,Environmental consultant,None,Christian
26,Holyroodbraid Avenue,Jill,Fuller,12,Granddaughter,NA,Female,Student,None,NA
26,Holyroodbraid Avenue,Jacqueline,Fuller,10,Granddaughter,NA,Female,Student,None,NA
27,Holyroodbraid Avenue,Dean,Clarke,29,Head,Divorced,Male,Futures trader,None,Christian
27,Holyroodbraid Avenue,Charlie,Clarke,1,Son,NA,Male,Child,None,NA
27,Holyroodbraid Avenue,Hazel,Baker-Clarke,0,Daughter,NA,Female,Child,None,NA
27,Holyroodbraid Avenue,Ross,Dixon,48,Lodger,Single,Male,Interpreter,None,None
28,Holyroodbraid Avenue,Patricia,Richards,45,Head,Divorced,Female,Financial manager,None,None
28,Holyroodbraid Avenue,Jayne,Richards,3,Daughter,NA,Female,Child,None,NA
28,Holyroodbraid Avenue,Mark,Richards,3,Son,NA,Male,Child,None,NA
29,Holyroodbraid Avenue,Emma,Vaughan,29,Head,Married,Female,Clinical molecular geneticist,None,Catholic
29,Holyroodbraid Avenue,Bryan,Vaughan,31,Husband,Married,Male,Clinical psychologist,None,Catholic
29,Holyroodbraid Avenue,Natalie,Vaughan,8,Daughter,NA,Female,Student,None,NA
30,Holyroodbraid Avenue,Donna,Shaw,42,Head,Married,Female,Animal nutritionist,None,Catholic
30,Holyroodbraid Avenue,Bernard,Shaw,43,Husband,Married,Male,Food technologist,None,Catholic
30,Holyroodbraid Avenue,Ryan,Mistry,14,Son,NA,Male,Student,None,NA
31,Holyroodbraid Avenue,Graeme,Johnson,47,Head,Married,Male,"Designer, television/film set",None,Catholic
31,Holyroodbraid Avenue,Lindsey,Johnson,46,Wife,Married,Female,"Engineer, agricultural",None,None
31,Holyroodbraid Avenue,Lynne,Palmer,64,Cousin,Single,Female,Immigration officer,None,Catholic
32,Holyroodbraid Avenue,Francesca,Walton,42,Head,Married,Female,Location manager,None,Catholic
32,Holyroodbraid Avenue,Ian,Walton,43,Husband,Married,Male,Prison officer,None,Catholic
32,Holyroodbraid Avenue,Fiona,Walton,7,Daughter,NA,Female,Student,None,NA
32,Holyroodbraid Avenue,Owen,Walton,3,Son,NA,Male,Child,None,NA
33,Holyroodbraid Avenue,Bryan,Rogers,58,Head,Married,Male,Claims inspector/assessor,None,Muslim
33,Holyroodbraid Avenue,Diane,Rogers,60,Wife,Married,Female,Customer service manager,None,Muslim
33,Holyroodbraid Avenue,Ashley,Bell-Rogers,11,Grandson,NA,Male,Student,None,NA
33,Holyroodbraid Avenue,Debra,Fox,10,Granddaughter,NA,Female,Student,None,NA
33,Holyroodbraid Avenue,Terry,Fox,6,Grandson,NA,Male,Student,None,NA
34,Holyroodbraid Avenue,Aimee,Whittaker,18,Head,Single,Female,University Student,None,Christian
34,Holyroodbraid Avenue,Chelsea,Jackson,20,None,Single,Female,University Student,None,None
34,Holyroodbraid Avenue,Carol,Jones,23,None,Single,Female,PhD Student,None,Catholic
35,Holyroodbraid Avenue,Lindsey,Hawkins,52,Head,Married,Female,Television floor manager,None,Methodist
35,Holyroodbraid Avenue,Jacob,Hawkins,59,Husband,Married,Male,"Psychologist, counselling",None,Methodist
36,Holyroodbraid Avenue,Jacqueline,Morris,55,Head,Single,Female,Ship broker,None,Christian
36,Holyroodbraid Avenue,Jack,Morris,19,Son,Divorced,Male,University Student,None,None
36,Holyroodbraid Avenue,Ellie,Morris,17,Daughter,NA,Female,Student,None,NA
37,Holyroodbraid Avenue,Jade,Gray,77,Head,Widowed,Female,Retired Haematologist,None,None
37,Holyroodbraid Avenue,Carole,Macdonald,17,Granddaughter,NA,Female,Student,None,NA
37,Holyroodbraid Avenue,Ronald,Owen,15,Grandson,NA,Male,Student,None,NA
38,Holyroodbraid Avenue,Paige,Davies,27,Head,Divorced,Female,Arts development officer,None,None
38,Holyroodbraid Avenue,Amy,Davies,0,Daughter,NA,Female,Child,None,NA
38,Holyroodbraid Avenue,Geoffrey,Hayes,55,Lodger,Single,Male,Ceramics designer,None,Catholic
39,Holyroodbraid Avenue,Megan,Mitchell,46,Head,Married,Female,Environmental education officer,None,None
39,Holyroodbraid Avenue,Billy,Mitchell,49,Husband,Married,Male,"Engineer, mining",None,None
39,Holyroodbraid Avenue,Maria,Mitchell,12,Daughter,NA,Female,Student,Physical Disability,NA
40,Holyroodbraid Avenue,Diane,Evans,19,Head,Single,Female,University Student,None,None
40,Holyroodbraid Avenue,Gerard,Alexander,20,Partner,Single,Male,"Clinical scientist, histocompatibility and immunogenetics",None,None
40,Holyroodbraid Avenue,Patrick,Evans,2,Son,NA,Male,Child,None,NA
41,Holyroodbraid Avenue,Daniel,Thomas,64,Head,Married,Male,Tax adviser,None,None
41,Holyroodbraid Avenue,Clare,Thomas,61,Wife,Married,Female,Early years teacher,None,None
42,Holyroodbraid Avenue,Shirley,White,45,Head,Married,Female,Unemployed,None,None
42,Holyroodbraid Avenue,Terence,White,50,Husband,Married,Male,"Programmer, applications",None,None
42,Holyroodbraid Avenue,Molly,White,16,Daughter,NA,Female,Student,None,NA
43,Holyroodbraid Avenue,Terence,Thorpe,21,Head,Single,Male,University Student,None,Methodist
44,Holyroodbraid Avenue,Stuart,Cross,35,Head,Married,Male,Glass blower/designer,None,None
44,Holyroodbraid Avenue,Marie,Cross,33,Wife,Married,Female,Fine artist,None,None
44,Holyroodbraid Avenue,Christian,Cross,2,Adopted Son,NA,Male,Child,None,NA
45,Holyroodbraid Avenue,Carol,Smith,49,Head,Single,Female,Clinical molecular geneticist,None,Christian
45,Holyroodbraid Avenue,Robin,Smith,32,Son,Single,Male,Chiropractor,None,Christian
45,Holyroodbraid Avenue,Sara,Smith,28,Daughter,Single,Female,"Psychotherapist, dance movement",None,Christian
45,Holyroodbraid Avenue,Amber,Smith,21,Daughter,Divorced,Female,University Student,None,None
45,Holyroodbraid Avenue,Kate,Smith,16,Daughter,NA,Female,Student,None,NA
45,Holyroodbraid Avenue,Molly,Smith,12,Daughter,NA,Female,Student,None,NA
45,Holyroodbraid Avenue,Gemma,Stone-Smith,8,Daughter,NA,Female,Student,None,NA
46,Holyroodbraid Avenue,Diane,O'Sullivan,44,Head,Married,Female,"Civil engineer, consulting",None,Catholic
46,Holyroodbraid Avenue,Ben,O'Sullivan,47,Husband,Married,Male,Newspaper journalist,None,Catholic
46,Holyroodbraid Avenue,Michelle,O'Sullivan,14,Daughter,NA,Female,Student,None,NA
47,Holyroodbraid Avenue,Lynne,Palmer,55,Head,Married,Female,Osteopath,None,None
47,Holyroodbraid Avenue,Donald,Palmer,57,Husband,Married,Male,Industrial buyer,None,None
47,Holyroodbraid Avenue,Bethany,Lewis,11,Granddaughter,NA,Female,Student,None,NA
48,Holyroodbraid Avenue,Joyce,Clark,51,Head,Married,Female,Chiropractor,None,None
48,Holyroodbraid Avenue,Glen,Clark,56,Husband,Married,Male,Audiological scientist,None,None
48,Holyroodbraid Avenue,Denise,Clark,17,Daughter,NA,Female,Student,None,NA
49,Holyroodbraid Avenue,Callum,Evans,31,Head,Married,Male,Unemployed,None,Methodist
49,Holyroodbraid Avenue,Megan,Evans,28,Wife,Married,Female,Systems analyst,None,Methodist
49,Holyroodbraid Avenue,Dawn,Evans,2,Daughter,NA,Female,Child,None,NA
50,Holyroodbraid Avenue,Julie,Davies,67,Head,Married,Female,Clinical research associate,None,None
50,Holyroodbraid Avenue,Garry,Davies,73,Husband,Married,Male,Retired Actor,None,None
50,Holyroodbraid Avenue,Jessica,Davies,36,Daughter,Divorced,Female,Emergency planning/management officer,None,None
50,Holyroodbraid Avenue,Denis,Davies,35,Son,Single,Male,Seismic interpreter,None,None
50,Holyroodbraid Avenue,Jemma,Davies,32,Daughter,Single,Female,Artist,None,None
51,Holyroodbraid Avenue,Deborah,Henderson,52,Head,Divorced,Female,Unemployed,None,Christian
51,Holyroodbraid Avenue,Victoria,Henderson,1,Daughter,NA,Female,Child,None,NA
52,Holyroodbraid Avenue,Amy,Smith,77,Head,Married,Female,Retired Clinical research associate,None,Christian
52,Holyroodbraid Avenue,Frank,Smith,79,Husband,Married,Male,Retired Professor Emeritus,None,Christian
53,Holyroodbraid Avenue,Shane,Barrett,38,Head,Single,Male,"Secretary, company",None,None
53,Holyroodbraid Avenue,Ashleigh,Barton,38,None,Single,Female,Meteorologist,None,None
53,Holyroodbraid Avenue,Barry,Barrett,58,None,Single,Male,Insurance broker,None,Christian
53,Holyroodbraid Avenue,Hollie,Williams,64,None,Single,Female,Colour technologist,None,Christian
53,Holyroodbraid Avenue,Jennifer,Pugh,24,None,Single,Female,Acupuncturist,None,None
53,Holyroodbraid Avenue,Darren,Sutton,61,None,Single,Male,Solicitor,None,Christian
54,Holyroodbraid Avenue,Derek,Osborne,21,Head,Single,Male,University Student,None,Methodist
54,Holyroodbraid Avenue,Valerie,Power,25,Partner,Single,Female,Psychotherapist,None,Methodist
55,Holyroodbraid Avenue,Nicole,Khan,41,Head,Married,Female,"Embryologist, clinical",None,Christian
55,Holyroodbraid Avenue,Edward,Khan-Cox,45,Husband,Married,Male,Civil Service administrator,None,Christian
55,Holyroodbraid Avenue,Dawn,Khan-Cox,11,Daughter,NA,Female,Student,None,NA
56,Holyroodbraid Avenue,Bernard,Gould,63,Head,Married,Male,Seismic interpreter,None,Muslim
56,Holyroodbraid Avenue,Dawn,Gould,59,Wife,Married,Female,Housing manager/officer,None,Muslim
56,Holyroodbraid Avenue,Donna,Gould,14,Granddaughter,NA,Female,Student,None,NA
57,Holyroodbraid Avenue,Catherine,Hopkins,25,Head,Single,Female,Commercial art gallery manager,None,None
57,Holyroodbraid Avenue,Max,Harding,27,Partner,Single,Male,"Administrator, Civil Service",None,None
57,Holyroodbraid Avenue,Alexander,Thomas,59,Lodger,Widowed,Male,Forensic psychologist,None,Christian
58,Holyroodbraid Avenue,Vanessa,Swift,25,Head,Married,Female,Data scientist,None,None
58,Holyroodbraid Avenue,Justin,Swift,25,Husband,Married,Male,"Presenter, broadcasting",None,None
58,Holyroodbraid Avenue,Kevin,Swift,5,Son,NA,Male,Student,None,NA
59,Holyroodbraid Avenue,Hilary,Harrison,51,Head,Married,Female,Building surveyor,None,Christian
59,Holyroodbraid Avenue,Sam,Harrison,58,Husband,Married,Male,Unemployed,None,None
59,Holyroodbraid Avenue,Jill,Harrison,11,Daughter,NA,Female,Student,None,NA
60,Holyroodbraid Avenue,Frances,James,38,Head,Married,Female,"Engineer, communications",None,None
60,Holyroodbraid Avenue,James,James,40,Husband,Married,Male,Clinical cytogeneticist,None,None
1,Lomond Avenue,Joan,Sullivan,51,Head,Married,Female,Health and safety inspector,None,Methodist
1,Lomond Avenue,Richard,Sullivan,54,Husband,Married,Male,Unemployed,None,Methodist
1,Lomond Avenue,Gregory,Sullivan,19,Son,Single,Male,University Student,None,None
1,Lomond Avenue,Eleanor,Sullivan,13,Daughter,NA,Female,Student,None,NA
1,Lomond Avenue,Billy,Sullivan,11,Son,NA,Male,Student,None,NA
1,Lomond Avenue,Robin,Sullivan,10,Son,NA,Male,Student,None,NA
2,Lomond Avenue,Molly,Dobson,41,Head,Single,Female,Market researcher,None,Christian
2,Lomond Avenue,Michael,Chadwick,46,Partner,Single,Male,Intelligence analyst,None,None
2,Lomond Avenue,Megan,Dobson,16,Daughter,NA,Female,Student,None,NA
2,Lomond Avenue,Helen,Dobson,5,Daughter,NA,Female,Student,None,NA
3,Lomond Avenue,Teresa,Turner,49,Head,Divorced,Female,Freight forwarder,None,None
3,Lomond Avenue,Clare,Turner,21,Daughter,Single,Female,University Student,None,None
4,Lomond Avenue,Adam,Evans,27,Head,Single,Male,Senior tax professional/tax inspector,None,Catholic
4,Lomond Avenue,Diane,Atkinson,28,Partner,Single,Female,Diagnostic radiographer,None,Catholic
